ReceiptID,WarehouseID,OrderID,TenderID,SupplierID,ReceiptDate,Level1Category,Level2Category,Level3Category,ItemCode,Remarks,UnitOfMeasure,ShapeCode,SourceCode,BatchNo,PackSize,OnHold,IsStop,ExpiryDate,PaletteID,Locator,QtyOnHand,QtyReserved,QtyAvailable,UnitCost,QtyOnHold,SalesUnit,TotalSales,PackageType,QtyPerPalette,Length_cm,Width_cm,Height_cm,Volume_cm3,TotalPallets,Weight_kg,SupplierName,SupplierAddress,Manufacturer,SupplierContact,SuppliedDate,WarehouseLocation,ProcurementFee,LPO_Number
RCPT-000043,WH-A,ORD-000043,TDR-2971,SUP-146,2025-02-07,Laboratory,Reagents,Immunology,MED-IMM-4911,,Vial,CYL,DONATION,BATCH-99719,63,True,True,2026-03-14,PAL-625,LOC-B42,524,58,366,37.91,100,Box,20657.87,Plastic,57,196,46,50,450800,17,46.97,"Buchanan, Smith and Jones","82836 White Valley Suite 675, Bradshawborough, DC 19624",Mcneil Ltd,9179191145,2025-02-04,Main,203.77,LPO-000043
RCPT-000044,WH-C,ORD-000044,TDR-4582,SUP-357,2025-02-04,Pharmaceuticals,Antivirals,Acyclovir,MED-ACY-4390,Refrigerated,Box,IRR,DONATION,BATCH-44753,93,False,True,2027-02-04,PAL-270,LOC-A44,828,170,615,399.57,43,Box,388309.08,Plastic,78,193,28,34,183736,15,13.84,Jones PLC,"94409 Armstrong Ways, Mooreton, MS 51299",Cobb Inc,2175933955,2025-02-03,Dispatch,279.78,LPO-000044
RCPT-000045,WH-A,ORD-000045,TDR-3170,SUP-863,2025-01-03,Consumables,Masks,Cloth,MED-CLO-7600,Fragile,Bottle,IRR,IMPORT,BATCH-87935,58,False,True,2025-11-19,PAL-387,LOC-C37,937,64,823,93.57,50,Carton,100448.88,Cardboard,22,121,37,23,102971,14,41.42,Johnson Group,"242 Smith Mount Suite 609, Port Joshualand, MP 94884","Davis, Miller and Hoffman",(493)817-4923x6804,2024-12-31,Main,70.12,LPO-000045
RCPT-000046,WH-A,ORD-000046,TDR-2337,SUP-206,2025-03-22,Consumables,Masks,Cloth,MED-CLO-6546,Refrigerated,Pack,SQR,DONATION,BATCH-35679,82,True,False,2026-04-16,PAL-147,LOC-A29,859,193,614,205.98,52,Carton,207313.33,Plastic,36,94,63,18,106596,7,38.33,Weaver-Myers,"597 Hall Harbor, South Rebecca, MI 94897",Jensen-Adams,713.267.1890x63993,2025-03-16,Quarantine,360.05,LPO-000046
RCPT-000047,WH-C,ORD-000047,TDR-6985,SUP-827,2024-07-11,Consumables,Masks,N95,MED-N95-3242,Urgent,Vial,RECT,DONATION,BATCH-59059,77,False,False,2026-09-09,PAL-911,LOC-A10,454,103,285,56.29,66,Box,25050.69,Wooden,10,48,73,22,77088,4,9.58,Sandoval-Harvey,"2048 Aaron Haven, Randymouth, AZ 04635",Williams Inc,+1-546-316-8944,2024-07-06,Dispatch,340.56,LPO-000047
RCPT-000048,WH-A,ORD-000048,TDR-1149,SUP-604,2024-09-03,Medical Equipment,Therapeutic,Nebulizer,MED-NEB-8319,,Bottle,RECT,IMPORT,BATCH-27853,90,True,True,2025-12-10,PAL-199,LOC-A14,518,74,422,383.93,22,Carton,177398.1,Wooden,18,170,13,8,17680,2,43.25,"Kelly, Harmon and Williams","614 Christine Corners, Jeffreyland, SC 73429","Holloway, Rogers and Robinson",+1-959-272-9745x077,2024-08-31,Main,402.97,LPO-000048
RCPT-000049,WH-C,ORD-000049,TDR-6112,SUP-401,2025-03-22,Pharmaceuticals,Antibiotics,Ciprofloxacin,MED-CIP-2806,,Piece,RECT,LOCAL,BATCH-41749,85,False,True,2027-02-25,PAL-157,LOC-B36,609,53,553,218.97,3,Piece,157923.22,Cardboard,36,167,13,5,10855,15,19.7,Bryant-Ellis,"677 Hawkins Cove, Port Angela, AL 54871",Shaw-Salazar,(316)202-3893x3221,2025-03-16,Cold Storage,279.55,LPO-000049
RCPT-000050,WH-A,ORD-000050,TDR-5428,SUP-357,2025-05-03,Consumables,Bandages,Elastic,MED-ELA-1642,Priority,Pack,CYL,DONATION,BATCH-82618,98,False,True,2026-04-24,PAL-370,LOC-A36,284,23,255,467.09,6,Piece,134894.18,Wooden,11,119,39,40,185640,2,37.77,Friedman LLC,"Unit 9182 Box 4790, DPO AA 13484",Adams-Freeman,001-845-456-2916,2025-05-01,Quarantine,359.56,LPO-000050
RCPT-000051,WH-C,ORD-000051,TDR-1304,SUP-504,2025-02-26,Pharmaceuticals,Vaccines,Influenza,MED-INF-6995,Fragile,Piece,RECT,DONATION,BATCH-97185,9,True,False,2025-12-19,PAL-248,LOC-A50,65,9,51,184.68,5,Carton,12698.91,Wooden,15,161,46,13,96278,4,11.52,Decker PLC,"857 Kathy Vista Apt. 953, New Ryan, KY 28964","Walker, Pennington and Burton",875.890.0233,2025-02-22,Main,363.53,LPO-000051
RCPT-000052,WH-A,ORD-000052,TDR-8929,SUP-306,2024-03-10,Pharmaceuticals,Antivirals,Oseltamivir,MED-OSE-8654,Priority,Pack,CYL,IMPORT,BATCH-92480,78,False,False,2025-09-17,PAL-558,LOC-C12,497,71,342,472.06,84,Carton,232060.31,Plastic,73,85,75,13,82875,5,36.49,Robles-Wilkins,"6922 Tammy Square, Thomaston, SC 66130","Avery, Carter and Carson",219.240.3463x84808,2024-03-04,Quarantine,437.06,LPO-000052
RCPT-000053,WH-A,ORD-000053,TDR-5286,SUP-682,2024-01-09,Medical Equipment,Monitoring,Pulse Oximeter,MED-PUL-7640,Urgent,Pack,RECT,IMPORT,BATCH-88480,82,True,False,2025-04-01,PAL-499,LOC-C20,959,262,629,72.71,68,Box,67670.66,Cardboard,58,17,93,15,23715,1,2.86,"Scott, Chandler and Romero","655 Amanda Field, Cooperborough, LA 75996",Yang-Jacobson,760-752-5236,2024-01-07,Dispatch,472.29,LPO-000053
RCPT-000054,WH-A,ORD-000054,TDR-6533,SUP-185,2024-06-11,Pharmaceuticals,Vaccines,COVID-19,MED-COV-6536,Refrigerated,Bottle,RECT,LOCAL,BATCH-29190,52,False,True,2025-04-10,PAL-404,LOC-A14,268,25,221,494.49,22,Carton,131439.69,Cardboard,39,160,75,47,564000,10,2.44,Fischer-Davis,"909 Brian Causeway Suite 573, Smithburgh, GA 46884","Baker, Ross and Hayes",657-494-7800x94598,2024-06-10,Main,354.39,LPO-000054
RCPT-000055,WH-B,ORD-000055,TDR-9273,SUP-283,2024-07-19,Medical Equipment,Therapeutic,Oxygen Concentrator,MED-OXY-2897,Urgent,Box,CYL,DONATION,BATCH-51812,85,True,False,2026-03-31,PAL-270,LOC-B45,835,49,691,125.91,95,Carton,87604.68,Plastic,52,67,29,42,81606,17,47.08,"Wiley, Raymond and Graves","896 Shelly Well, Kellyton, FM 78276",Gonzalez LLC,231.797.2468,2024-07-18,Main,91.33,LPO-000055
